season,episode,dialog,num_words,speaker
1,1,"Urgh. I'm exhausted. It was finger painting day at school, and a five year old boy  got to second base with me. Wow, you're cooking?",25,Lily
1,1,"Yes, I am.",3,Marshall
1,1,Aww- Are you sure that's a good idea after last time? You looked really creepy without eyebrows.,17,Lily
1,1,I can handle this; I'm full of surprises tonight.,9,Marshall
1,1,So there's more surprises? Like what?,6,Lily
1,1,"Marshall was in his second year of law school, so he was pretty good at thinking on his feet.",19,Narrator
1,1,BOOGITY BOO! And that's all of them! I'm goanna go... cook.,11,Marshall
1,1,"I'm so happy for Marshall, I really am. I just couldn't imagine settling down right now.",16,Ted
1,1,So do you think you'll ever get married?,8,Yasmine
1,1,"Well maybe eventually. Some fall day. Possibly in Central Park. Simple ceremony, we'll write our own vows. But--eh--no DJ, people will dance. I'm not going to worry about it! Damn it, why did Marshall have to get engaged?  Yeah, nothing hotter than a guy planning out his own imaginary wedding, huh?",51,Ted
1,1,"Actually, I think it's cute.",5,Yasmine
1,1,"Well, you're clearly drunk (pulls her wine glass away. Hold up glass to bartender) ONE MORE FOR THE LADY!",19,Ted
1,1,"Okay, look what I got (runs to the fridge. Takes out wine bottle)",13,Marshall
1,1,Aw-honey. Champagne!,2,Lily
1,1,Yeah.,1,Marshall
1,1,"No, you are too old to be scared to open a bottle of champagne!",14,Lily
1,1,I'm not scared.,3,Marshall
1,1,Then open it!,3,Lily
1,1,Fine (takes bottle. Looks at it for a couple of seconds) Please open it,14,Marshall
1,1,"You are unbelievable, Marshall. No-",5,Lily
1,1,"There are two big questions a man has to ask in life. One you plan out for months, the other just slips out when you're half drunk at some bar.",30,Narrator
1,1,will you marry me?,4,Marshall
1,1,you wanna go out sometime?,5,Ted
1,1,"Of course, you idiot!",4,Lily
1,1,I'm sorry; Carl's my boyfriend,5,Yasmine
1,1,"Sup, Carl?",2,Ted
1,1,I promised Ted we wouldn't do that.,7,Marshall
1,1,Did you know there's a pop tart under your fridge?,10,Lily
1,1,"No, but dibs. Where's that champagne? I wanna drink a toast with my fiancé.",14,Marshall
1,1,aww (claps. They kiss),4,Lily
1,1,"I don't know why I was so scared of this. Pretty easy right? (Pops cork, hit's Lily's eye)",18,Marshall
1,1,,0,Lily
1,1,OH!,1,Marshall
1,1,Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down.,18,Ted
1,1,how does Carl land a Lebanese girl?,7,Barney
1,1,It's always been &quot;don't even think about it till you're thirty&quot;,11,Ted
1,1,Exactly-the guy doesn't even own a suit!,7,Barney
1,1,"Plus Marshall's found the love of his life. Even if I was ready, which I'm not, but if I was it's like, &quot;Okay, I'm ready! Where is she?&quot;",28,Ted
1,1,and there she was.,4,Narrator
1,1,"It was like something from an old movie. Where the sailor sees the girl across the crowded dance floor, turns to his buddy and says, &quot;see that girl? I'm going to marry her someday&quot;",34,Narrator
1,1,"Hey Barney, see that girl?",5,Ted
1,1,"Hey, have you met Ted?",5,Barney
1,1,"Let me guess,  Ted?",4,Robin
1,1,"I'm sorry, Lily. I'm so sorry. Take us to the hospital.",11,Marshall
1,1,"Whoa, whoa, whoa-did you hit her?",6,Cabdriver
1,1,"Hit me? Please, this guy could barely even spank me in bed for fun. He's all like,  &quot;Oh, did that hurt?&quot; and I'm like, &quot;Come on, let me have it you pansy!&quot;  Wow, complete stranger.",35,Lily
1,1,"no, no, no, no-it's okay, go on. (Turns meter on.) So these, spankin's...you in pajamas or going &quot;naturelle&quot;",18,Cabdriver
1,1,So what do you do?,5,Ted
1,1,I'm a reporter for Metro News 1.,7,Robin
1,1,Oh.,1,Ted
1,1,"Well, kind of a reporter. I do those dumb little fluff pieces at the end of the news, you know. Like-um-monkey that can play the ukulele. I'm hoping to get some bigger stories soon.",34,Robin
1,1,"Bigger like, uh, gorilla with an up-right bass? Sorry, you're really pretty.  Oh, your friends don't seem too happy.",19,Ted
1,1,"Yeah, see the one in the middle just got dumped by her boyfriend so tonight every guy is... &quot;The enemy&quot;.",20,Robin
1,1,You know if you don't make your friend feel better you could throw a drink at my face. I don't mind.,21,Ted
1,1,She would love that! It does look fun in the movies.,11,Robin
1,1,"Hey, you wanna have dinner with me Saturday night?",9,Ted
1,1,"Oh, I can't. I'm going to Orlando for a week on Friday. Some guys attempting to make a big  so my news is covering it.",25,Robin
1,1,That's going to take a week?,6,Ted
1,1,"Yeah, he's going to eat it too, it's another record.",10,Robin
1,1,"Hey, what's taking so long?",5,Robin's Dumped Friend
1,1,"Uh, I know this is a long shot, but how about tomorrow night?",13,Ted
1,1,"Yeah,  What the hell (passes number to Ted. Throws drink on Ted's face) JERK! (Walks away. Whispers) that was fun.",20,Robin
1,1,De-wait for it-nied! Denied!,4,Barney
1,1,We're going out tomorrow night.,5,Ted
1,1,I thought we were playing laser tag tomorrow night?,9,Barney
1,1,"Yeah, I was never going to go play laser tag.",10,Ted
1,1,"The next night, I took her out to this little bistro in Brooklyn.",13,Narrator
1,1,Wow that is one bad-ass blue French horn.,8,Robin
1,1,Yeah.,1,Ted
1,1,Mhmm.,1,Robin
1,1,Sort of looks like a... Smurf pen1s.,7,Ted
1,1,"Son, a piece of advice. When you go on a first date you really don't wanna say &quot;smurf pen1s&quot;. Girls don't ordinarily like that.",24,Narrator
1,1,But that was no ordinary girl.,6,Narrator
1,1,Lilly?,1,Marshall
1,1,How long have you been sitting there!? Stupid eye patch.,10,Lily
1,1,"Mom, dad, I have found the future Mrs. Ted Mosby! Marshall, how have I always described my perfect woman?",19,Ted
1,1,Oh let's see  she likes dogs?,6,Marshall
1,1,I've got five dogs.,4,Robin
1,1,...she drinks scotch?,3,Marshall
1,1,I love a scotch that's old enough to order its own scotch.,12,Robin
1,1,Can quote obscure lines from &quot;Ghostbusters&quot;?,6,Marshall
1,1,"Ray, when someone asks you if you're a god you say, &quot;Yes!&quot;",12,Robin
1,1,And I'm saving the best for last.,7,Ted
1,1,Do you want these?  I hate olives.,7,Robin
1,1,She hates olives! Awesome!,4,Marshall
1,1,The olive theory.,3,Lily
1,1,"The olive theory is based on my friends, Marshall and Lily. He hates olives, she loves them. In a weird way that's what makes them such a great couple. A Perfect balance .",33,Ted
1,1,"You know, I've had a jar of olives just sitting in my fridge forever.",14,Robin
1,1,I can take them off your hands.,7,Ted
1,1,they're all yours.,3,Robin
1,1,"Oh, it is on! It is on  till the break of dawn.",12,Marshall
1,1,"wait, it's only the break of ten-thirty. What happened?",9,Lily
1,1,"I've gotta get one of those blue French horns for over my fireplace. It's gotta be blue, it's gotta be French.",21,Robin
1,1,No Green Clarinet?,3,Ted
1,1,No.,1,Robin
1,1,"Come on, no purple tuba?",5,Ted
1,1,"It's a smurf pen1s, we're no dice.",7,Robin
1,1,"there you are! We've got a jumper! Some crazy guy on the Manhattan Bridge. Come on, you're covering it!",19,Producer
1,1,"Um, alright. I'll be right there.  I'm sorry. I had a really great time tonight.",15,Robin
1,1,Yeah.,1,Ted
1,1,So? Did you kiss her?,5,Marshall
1,1,"No. The moment wasn't right.  Look, this woman could be my future wife; I want our first kiss to be amazing.",21,Ted
1,1,"Aww, Ted that's so sweet. So you chickened out like the little bitch.",13,Lily
1,1,What? I did not chicken out! You know what? I don't need to take first kiss advice from some pirate who hasn't been single since the first week of college.,30,Ted
1,1,"Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him.",23,Lily
1,1,"Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I killed you Connor; don't make me get your mom!",24,Barney
1,1,"Hey, listen. I need your opinion on something.",8,Ted
1,1,"Okay, meet me at the bar in fifteen minutes-AND SUIT UP!",11,Barney
1,1,So these guys think I chickened out. What do you think?,11,Ted
1,1,I can't believe you're still not wearing a SUIT!,9,Barney
1,1,She didn't even give me the signal.,7,Ted
1,1,"What is she goanna-is she goanna bat her eyes at you in Morse code ?? Ted  Kiss me-No, you just kiss her!",22,Barney
1,1,Not if you don't get the signal.,7,Ted
1,1,Ee- Did Marshall give me the signal?,7,Barney
1,1,"No!  I didn't, I swear.",5,Marshall
1,1,"But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her.",20,Barney
1,1,"Urgh, I should've kissed her. What about when she gets back from Orlando?",13,Ted
1,1,A week? That's like-a year in hot girl time. She'll forget all about you. Mark my words,17,Barney
1,1,There she is...,3,Ted
1,1,"Ooo. She's cute!  Hey Carl, turn it up!",8,Lily
1,1,"...persuaded him to reconsider at which point the man came down off the ledge, giving this bizarre story a happy ending. Reporting from",23,Robin
1,1,"Huh, guy didn't jump",4,Marshall
1,1,"Metro One News, back to you bill.",7,Robin
1,1,I'm goanna go kiss her. Right now.,7,Ted
1,1,"Oh-Dude, it's midnight. As your future lawyer I'm goanna advise you",11,Marshall
1,1,"I never do anything crazy! I'm always waiting for the moment! Planning the moment! Well she's leaving tomorrow this may be the only moment I'm goanna get! I gotta do what that guy couldn't, I gotta take the leap! Okay not a perfect metaphor, for me it's fall in love and get married-for him it's... death.",56,Ted
1,1,"Actually, that is a perfect metaphor. By the way, did I congratulate you two?",14,Barney
1,1,I'm doing this.,3,Ted
1,1,Let's go,2,Lily
1,1,Word up!,2,Marshall
1,1,We're coming with you.,4,Lily
1,1,...Barney?,1,Ted
1,1,"Alright, but under one condition.",5,Barney
1,1,"look at you, you beautiful b*st*rd, you suited up! This is totally going in my blog!",16,Barney
1,1,(To Ranjit-Cabdriver) Stop the car. Uh-pull over right here. I gotta do something.,13,Ted
1,1,"Excuse me, pardon me.  Enjoy your coffee.",7,Ted
1,1,"Hey, HEY!",2,Waitor
1,1,"go, go, GO! (looks to his friends. Shrugs) Everybody brings flowers.",11,Ted
1,1,Okay. Moment of truth. Wish me luck.,7,Ted
1,1,Ted's goanna get it on with a TV reporter (nods. Laughs.) This just in. Okay (holds hand up for high-fives),20,Barney
1,1,"Kiss her, Ted. Kiss her good.",6,Lily
1,1,Kiss the crap out of that girl,7,Marshall
1,1,"Marshall, remember this night. When you're the best man at our wedding and you give a speech, you're goanna tell this story.",22,Ted
1,1,Why does he get to be the best man?  I'M YOUR BEST FRIEND!,13,Barney
1,1,"As I walked up to that door a million thoughts raced through my mind. Unfortunately, one particular thought did not.",20,Narrator
1,1,I've got five dogs.,4,Robin
1,1,"Not good, not good, not good, not good.",8,Ted
1,1,No!,1,Lily
1,1,Go back in there!,4,Marshall
1,1,You're wearing a suit!,4,Barney
1,1,Ted?,1,Robin
1,1,"Hi!  I was just uh-(hold up Smurf pen1s, aka French Horn)",11,Ted
1,1,Come on up.,3,Robin
1,1,He's in.,2,Marshall
1,1,"So,  Ranjit... you must've done it with a Lebanese girl.",10,Barney
1,1,Okay-that's my Barney Limit.  I'm goanna see if that Bodega has a bathroom.,13,Lily
1,1,"Actually, I'm from Bangladesh.",4,Ranjit
1,1,The women hot there?,4,Barney
1,1,Here's a picture of my wife!,6,Ranjit
1,1,Simple no would have sufficed.  She's lovely.,7,Barney
1,1,"So, Ted. What brings you back to Brooklyn at one in the morning in a-suit.",15,Robin
1,1,I was just hoping to get those olives... that you said I could have.,14,Ted
1,1,Would you like those olives with some Gin and Vermouth?,10,Robin
1,1,Are you trying to get me drunk?,7,Ted
1,1,For starters (turns music on. Leaves to the kitchen),9,Robin
1,1,Thank you.,2,Ted
1,1,"So, Marshall. This &quot;Olive Theory&quot; based on you and Lily?",10,Barney
1,1,Yeah...,1,Marshall
1,1,"You hate olives? Lily loves them, you can't stand them.",10,Barney
1,1,"Yeah, hate olives.",3,Marshall
1,1,"Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?",15,Barney
1,1,You have to swear that this does not leave this cab.,11,Marshall
1,1,I swear.,2,Barney
1,1,I swear.,2,Ranjit
1,1,"On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, &quot;Sure... I hate olives.&quot;",23,Marshall
1,1,But you like olives!,4,Barney
1,1,"Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives.",23,Marshall
1,1,"Marshall, I'm going to get you an early wedding present. Don't get married.",13,Barney
1,1,I think I like your &quot;Olive Theory&quot;.,7,Robin
1,1,I think I like your French Horn.,7,Ted
1,1,I think I like your nose.,6,Robin
1,1,I think I'm in love with you.,7,Ted
1,1,What?,1,Marshall and Barney
1,1,What?,1,Son and Daughter
1,1,What?,1,Robin
1,1,"Come on man, you said your stomach's been hurting, right? You know what that is! Hunger. You're hungry for experience. Hungry for something new. Hungry for olives. But you're too scared to do anything about it.",36,Barney
1,1,"Yeah, I'm scared, okay? But when I think about spending the rest of my life with Lily... committing forever, no other women  doesn't scare me at all. I'm marrying that girl. (Lily pops her head in from the window. Marshall turns around) Lily. Lily, I like olives.",47,Marshall
1,1,We'll make it work. (They kiss.),6,Lily
1,1,aww.,1,Ranjit
1,1,"So Orlando, you goanna hit Disney World?",7,Ted
1,1,You love me?,3,Robin
1,1,"Oh, god, I can't believe I said that. Why did I say that? Who says that? I should just go.",20,Ted
1,1,Hold on.  Wait a minute.  Promised you these.,8,Robin
1,1,Olives. Thanks. I love you. What's wrong with me?,9,Ted
1,1,"Why are we still sitting here? Let's go! We can still make last call. What do you say Lil?  Yo, ho ho and a bottle o' rum?  'Cuz you're a pirate...",31,Barney
1,1,"Okay, eye patch gone- And we can't just abandon Ted. If it doesn't go well up there he's gonna need some support.",22,Lily
1,1,It's been like twenty minutes. You think they're doin' it?,10,Marshall
1,1,You think they're doing it in front of the dogs?,10,Barney
1,1,Doggie style.,2,Marshall
1,1,I had this girl in college; she had a golden retriever-,11,Barney
1,1,"Okay, we can go to the bar, just stop talking.",10,Lily
1,1,Hit it Ranjit.,3,Barney
1,1,"So when you tell this story to your friends, could you avoid the word &quot;psycho&quot;? I prefer...eccentric.",17,Ted
1,1,"Good night, psycho . (Ted sarcastically clutches heart. Realizes friends left him)",12,Robin
1,1,Great  Umm... how do I get to the F Train?,10,Ted
1,1,"Oh, um-two blocks  that way  and take a right.",9,Robin
1,1,"(upset/tired) Thanks. (Walks down the steps. Robin begins to walk in) You know what? (Robin stops. Ted turns around). I'm done being single. I'm not good at it. Look, obviously you can't tell a woman you just met you love her. But... it sucks that you can't. I'll tell you something though, if a woman-not you... just some hypothetical woman-were to bare with me through all this. I think I'd make a damn good husband. Because that's the stuff I'd be good at. Stuff like making her laugh and being a good father... and walking her five hypothetical dogs. Being a good kisser.",103,Ted
1,1,Everyone thinks they're a good kisser.,6,Robin
1,1,"Oh, I've got references.",4,Ted
1,1,"Good night, Ted. (Shake hands.)",5,Robin
1,1,And I'm a good hand shaker,6,Ted
1,1,that's a pretty great hand shake.,6,Robin
1,1,"And that was it, probably never see her again.  What?",10,Ted
1,1,That was the signal!,4,Marshall
1,1,That long lingering handshake-you should've kissed her!,7,Lily
1,1,There's no such thing as the signal. But yeah-that was the signal.,12,Barney
1,1,Signal,1,Rangit
1,1,"Ah, Carl thank you. Something I gotta do.",8,Marshal
1,1,"By the way, you should've kissed her.",7,Carl
1,1,Carl!?  You guys weren't there.,5,Ted
1,1,I am so turned on right now.,7,Lily
1,1,"Guys, trust me. I've seen the signal. That was not the signal.",12,Ted
1,1,"Yeah Ted, we're not on you anymore.",7,Barney
1,1,To my fiancé!,3,Marshall
1,1,to the future!,3,Lily
1,1,To one hell of a night!,6,Ranjit
1,1,That was not the signal!,5,Ted
1,1,"I asked her about it years later, and yeah, that was the signal. I could've kissed her. But that's the funny thing about destiny.",24,Narrator
1,1,... it happens whether you plan it or not. I mean I...,12,Narrator
1,1,... never thought I'd see that girl again. But it...,10,Narrator
1,1,"...turns out, I was just too close...",7,Narrator
1,1,...to the puzzle to see the picture that was forming. Because that kids...,13,Narrator
1,1,"...is the true story, of how I met your Aunt Robin.",11,Narrator
1,1,Aunt Robin?,2,Son
1,1,I thought this was about how you met mom!,9,Daughter
1,1,Will you relax? I'm getting to it.  like I said,10,Narrator
1,1,...it's a long story.,4,Narrator
1,1,"//foreverdreaming.org/"" title=""Forever Dreaming"">Forever Dreaming</a>. <strong class=""nowrap"">All rights reserved</strong>.",8,"&copy; 2000-2021 <a rel=""nofollow"" target=""_blank"" href=""http"
1,2,The Year 2030],3,[Title
1,2,"Okay, where was I?",4,Narrator
1,2,You were telling us how you met mom.,8,Daughter
1,2,In excruciating detail...,3,Son
1,2,"Right, so  back in 2005 when I was twenty-seven, my two best friends got engaged. And it got me thinking, &quot;Maybe I should get married.&quot; Then I saw... Robin. She was incredible. I just knew I had to meet her. That's where your Uncle Barney came in.",47,Narrator
1,2,"I suggest we play a little game I like to call, &quot;Have you Met Ted?&quot;",15,Barney
1,2,"No, no, no-we're not playing &quot;Have you Met Ted!&quot;",9,Ted
1,2,(Taps Robin's shoulder) Hi! Have you met Ted?,8,Barney
1,2,"So I asked her out, and I know this sounds crazy... but after just one date, I was in love with her, which made me say something stupid",28,Narrator
1,2,I think I'm in love with you.,7,Ted
1,2,What?,1,Robin
1,2,"Oh, Dad.",2,Daughter
1,2,So then what happened?,4,Son
1,2,"Nothing. I mean, I made a complete fool of myself. So... a week went by and I decided not to call her.",22,Narrator
1,2,"So you're not goanna call her? You went from, &quot;I think I'm in love with you&quot; to &quot;I'm not gonna call her?&quot;",22,Marshall
1,2,"I wasn't in love with her, okay? I was briefly in love with the abstract idea of getting married! That had absolutely nothing to do with Robin. (Finds Lily and Robin chatting at a table.) Robin!",36,Ted
1,2,Hey!,1,Robin
1,2,Look who I ran into!,5,Lily
1,2,Since when do you guys know each other?,8,Ted
1,2,"Uh... since about  here. Lily recognized me from the news and- Hello, Sailor!",13,Robin
1,2,They just got engaged.,4,Ted
1,2,"Well, I should get back to the station. See you guys.  Nice seeing you, Ted.",15,Robin
1,2,"Yeah, you too. (Robin leaves, Barney walks closer) Damn it.",10,Ted
1,2,What?,1,Lily
1,2,I'm in love with her.,5,Ted
1,2,No! As your sponsor I will not let you relapse. You blew it; it's over-move on.,16,Barney
1,2,I don't know! I just have this feeling. She's the future Mrs. Ted Mosby.,14,Ted
1,2,"Lily, you squeaked?",3,Ted
1,2,"She said something about me didn't she? Come on, spill it, Red.",12,Ted
1,2,Fine!,1,Lily
1,2,So what do we think of Ted?,7,Lily
1,2,Ted's something else.,3,Robin
1,2,"Huh... I'm gonna spin that as good. Lots of guys are &quot;something&quot;, I'm &quot;something else&quot;.",15,Ted
1,2,Comes on a little strong.,5,Robin
1,2,But...that's part of my charm.,5,Ted
1,2,But that's part of his charm.,6,Lily
1,2,"Oh, totally. I mean, he's sweet, he's charming, he's just looking for something a little bit more serious than I am. I mean the most I can handle right now is something casual. This just stays between us, right?",39,Robin
1,2,Are you kidding? This flapper-for knocks.,6,Lily
1,2,Oops...,1,Lily
1,2,"She wants casual. Okay, I'll be casual. I'm gonna be a mushroom cloud of casual. You know why? Cause it's a game! I wanted to skip to the end and do the &quot;happily ever after&quot; thing but you don't get there unless you play the game.",46,Ted
1,2,So're you gonna ask her out?,6,Marshall
1,2,"Yeah-No! I can't ask her out, because if I ask her out I'm asking her out. So how do I ask her out, without asking her out?",27,Ted
1,2,Did you guys get high?,5,Lily
1,2,I got it! I don't ask her out... I invite her to our party next Friday.,16,Ted
1,2,We're having a party next Friday?,6,Marshall
1,2,We are now-Casual,3,Ted
1,2,"Yeah, cuz nothing says &quot;Casual&quot; like inviting a hundred people over just to &quot;Mac&quot; on one girl. Oh, and Lily-that's my leg.",22,Barney
1,2,You waited five minutes to tell me that?,8,Lily
1,2,Alright-so call her up!,4,Marshall
1,2,No-calling's not casual! I just gotta bump into her somewhere. If only I knew her schedule I could arrange a &quot;chance&quot; encounter.,22,Ted
1,2,"that's great, Ted. You'll be the most &quot;Casual&quot; stalker ever.",10,Lily
1,2,"Now ever since Marshall put that ring on her finger, Lily had been...well... extra affectionate.",15,Narrator
1,2,"Baby, no. I have a twenty-five paged paper on unconstitutional law due on Monday, I barely started,",17,Marshall
1,2,"Hey, I'm just sitting here. Wearing my ring... my beautiful ring. Kind of makes wearing other stuff seem wrong. Like my shirt. Kind of don't wanna wear my shirt anymore. Or... my underwear. Oh-that's right-I'm not wearing any.",38,Lily
1,2,No underwear?,2,Marshall
1,2,Not slightly.,2,Lily
1,2,"Guys, boundaries! There she is!",5,Ted
1,2,"Thanks Bill, I'm reporting from the Razzle Dazzle Supermarket on 75th in Columbus",13,Robin
1,2,75th in Columbus.  Game on!,5,Ted
1,2,"where four year old, Leroy Ellensburg, climbed inside a grab a prize machine  and gotten stuck.",16,Robin
1,2,"And on the pursuit of a stuffed purple giraffe. (Ted appears behind her, leaves nervously) From Metro News One, I'm Robin Scherbatsky.",22,Robin
1,2,We're clear,2,Cameraman
1,2,Thanks.  Ted?,2,Robin
1,2,"Robin, wow! What are the odds?",6,Ted
1,2,What are you doing here?,5,Robin
1,2,"Oh, you know, just-uh-Shopping for-uh-dip  I love dip... I mean I don't love dip, I like dip. As a friend, you know. So-uh-hey, you-uh-reporting a news story or something?",29,Ted
1,2,"Yeah, kid stuck in a crane machine, how sweet of you to call it news.",15,Robin
1,2,"Wow, kid in a crane machine (approached machine. To boy) You just had to have that toy didn't ya? Couldn't play the game like everyone else.",26,Ted
1,2,You're all sweaty!,3,Leroy
1,2,"Cute kid  Um yeah it's f-it's so funny running into your we're having a party next Friday if-if you like swinging by! But, you know, whatever.",26,Ted
1,2,"Oh, I'm going back home next weekend. It's too bad it's not tonight.",13,Robin
1,2,"It is, it's tonight. This Friday, Did I say next Friday? Yeah-sorry-cuz I've been saying &quot;next Friday&quot; all week, but yeah it's tonight. The-uh-party's tonight. But, you know, whatever.",29,Ted
1,2,Hello?,1,Marshall
1,2,"hey, am I interrupting anything?",5,Ted
1,2,"No, no I'm just writing my paper. Hitting the books.",10,Marshall
1,2,"Yeah, well you and Lily might wanna put some clothes on. We're throwing a party in two hours. Okay, bye",20,Ted
1,2,"So, Gatsby, what are you goanna do when Robin shows up?",11,Marshall
1,2,"Okay, I got it all planned out.",7,Ted
1,2,"She steps through the door, and where's Ted? Not eagerly waiting by the door. Nah I'm across the room at my drafting table showing some foxy young thing all my cool architecture stuff. So Robin strolls over and I casually give her one of these, &quot;Hey, what's up?&quot; She says, &quot;Hey, nice place&quot; etcetera, etcetera. And then I say, &quot;Well make yourself at home,&quot; and I casually return to my conversation. Then, an hour later, &quot;Oh, you're still here?&quot; I say like I don't really care, but it's a nice surprise. And then very casually, &quot;Wanna see the roof?&quot;",99,Ted
1,2,The roof.,2,Lily and Marshall
1,2,Get her up to the roof and the roof takes care of the rest.,14,Ted
1,2,What's so special about the roof?,6,Barney
1,2,"Oh, the moon, the stars, the shimmering skyline. You can't not fall in love on that roof.",17,Lily
1,2,We do it up there sometimes.,6,Marshall
1,2,"Solid plan, my little friend.",5,Barney
1,2,We're the same height.,4,Ted
1,2,But may I suggest one little modification.,7,Barney
1,2,"That foxy young thing you were chatting up, take her up to the roof and have s*x with her! Crazy monkey-style.",21,Barney
1,2,That's not the plan.,4,Ted
1,2,"Should be the plan, I mean look at her. Ted, look at her. She's smokin'!",15,Barney
1,2,Thank you.,2,Fantasy Girl
1,2,"Yeah, but she's not Robin.",5,Ted
1,2,"Exactly! Ted, let's wrap. Statistic, at every New York party there's always a girl who has no idea whose party she's at. She knows no one you know, and you will never see her again. Do you see-where I'm going-hu-with this?",41,Barney
1,2,"Barney, I don't wanna say-",5,Ted
1,2,"Aargh!  Scoping, beep, scoping, beep!",5,Barney
1,2,Man you're a dork.,4,Lily
1,2,"beep, beep, beep, beep. Target acquired! And now it's time we play a little game I like to call &quot;Have You Met Ted?&quot;",23,Barney
1,2,"No, come on not this.",5,Ted
1,2,Hi! Have you met Ted?,5,Barney
1,2,No.,1,Tatiana
1,2,Hi.,1,Ted
1,2,Hi.,1,Tatiana
1,2,Do you know Marshall? Lily?,5,Barney
1,2,No.,1,Tatiana
1,2,"Hmm, do you know anyone at this party?",8,Barney
1,2,I work with Carlos.,4,Tatiana
1,2,"Excuse me,  Anyone know a Carlos?",6,Barney
1,2,No.,1,Ted
1,2,No.,1,Lily
1,2,On a silver platter! Bon appetite!,6,Barney
1,2,I don't think so.,4,Ted
1,2,"Your loss, her gain.  Excuse me, can I show you the roof? It's magical up there!",16,Barney
1,2,Sure,1,Tatiana
1,2,Whoa-whoa-Hey hey. I got that roof reserved!,7,Ted
1,2,"Dude, Robin's not coming.",4,Barney
1,2,"Hey, she's goanna show up.  She'll show up.",8,Ted
1,2,She didn't show up.,4,Narrator
1,2,At least it was a great party.,7,Lily
1,2,I ate like four whole cans of dip!,8,Marshall
1,2,You always know what to say old friend.,8,Ted
1,2,It's Robin.,2,Ted
1,2,Answer it!,2,Lily
1,2,"No, no, no. Not right away. I gotta seem casual.  Hello?",11,Ted
1,2,I'm so sorry I missed your party.,7,Robin
1,2,Who is this? Merideth?,4,Ted
